Citadel,Cursed Citadel Chest,chest levels,10,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citadel,Elven Citadel Chest,chest levels,10,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Barbarian Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Bone Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Cobra Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Elegant Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Fire Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Forgotten Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Gnome Workshop Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Infernal Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Mayan Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Orc Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Sand Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,Stone Chest,chest levels,5,10,15,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Abandoned Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Ancient Warrior's Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Ancient Bastion Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Barbarian Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Braided Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Chest of the Cursed,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Cobalt Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Harpy Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,House of Horrors Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Minotaur Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Priest's Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Scarab Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Scorpion Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Titansteel Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Trillium Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,Turtle Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epic Crypt,White Wood Chest,chest levels,15,20,25,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
